channel_name	filename	group_label	position_label	binning	channel_number	continuous_focus_offset	continuous_focus_bool	exposure	group_number	group_order	matlab_serial_date_number	position_number	position_order	settings_number	settings_order	timepoint	x	y	z	z_order
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t20_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.913	4	4	2	2	20	18583	53099	4194.000062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t21_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.9255	4	4	1	1	21	18583	53099	4194.150062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t21_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.9255	4	4	2	2	21	18583	53099	4194.150062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t22_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.9381	4	4	1	1	22	18583	53099	4194.175062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t22_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.9381	4	4	2	2	22	18583	53099	4194.175062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t23_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.9507	4	4	1	1	23	18583	53099	4193.575062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t23_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.9507	4	4	2	2	23	18583	53099	4193.575062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t24_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.9633	4	4	1	1	24	18583	53099	4193.775062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t24_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.9634	4	4	2	2	24	18583	53099	4193.775062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t25_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.976	4	4	1	1	25	18583	53099	4193.750062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t25_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.9761	4	4	2	2	25	18583	53099	4193.750062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t26_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735821.9888	4	4	1	1	26	18583	53099	4193.675062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t26_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735821.9888	4	4	2	2	26	18583	53099	4193.675062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t27_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0014	4	4	1	1	27	18583	53099	4193.550062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t27_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0015	4	4	2	2	27	18583	53099	4193.550062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t28_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0141	4	4	1	1	28	18583	53099	4193.825062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t28_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0141	4	4	2	2	28	18583	53099	4193.825062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t29_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0268	4	4	1	1	29	18583	53099	4193.500062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t29_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0269	4	4	2	2	29	18583	53099	4193.500062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t30_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0396	4	4	1	1	30	18583	53099	4193.375062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t30_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0396	4	4	2	2	30	18583	53099	4193.375062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t31_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0523	4	4	1	1	31	18583	53099	4193.650062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t31_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0523	4	4	2	2	31	18583	53099	4193.650062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t32_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0651	4	4	1	1	32	18583	53099	4193.650062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t32_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0651	4	4	2	2	32	18583	53099	4193.650062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t33_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0778	4	4	1	1	33	18583	53099	4193.250062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t33_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0779	4	4	2	2	33	18583	53099	4193.250062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t34_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.0905	4	4	1	1	34	18583	53099	4193.725062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t34_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.0905	4	4	2	2	34	18583	53099	4193.725062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t35_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.1032	4	4	1	1	35	18583	53099	4193.725062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t35_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.1033	4	4	2	2	35	18583	53099	4193.725062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t36_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.116	4	4	1	1	36	18583	53099	4193.750062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t36_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.116	4	4	2	2	36	18583	53099	4193.750062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t37_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.1287	4	4	1	1	37	18583	53099	4193.600062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t37_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.1288	4	4	2	2	37	18583	53099	4193.600062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t38_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.1415	4	4	1	1	38	18583	53099	4193.775062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t38_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.1415	4	4	2	2	38	18583	53099	4193.775062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t39_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.1542	4	4	1	1	39	18583	53099	4193.750062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t39_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.1542	4	4	2	2	39	18583	53099	4193.750062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t40_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.167	4	4	1	1	40	18583	53099	4193.775062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t40_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.167	4	4	2	2	40	18583	53099	4193.775062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t41_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.1797	4	4	1	1	41	18583	53099	4193.750062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t41_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.1797	4	4	2	2	41	18583	53099	4193.750062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t42_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.1925	4	4	1	1	42	18583	53099	4193.375062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t42_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.1925	4	4	2	2	42	18583	53099	4193.375062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t43_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.2053	4	4	1	1	43	18583	53099	4193.400062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t43_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.2053	4	4	2	2	43	18583	53099	4193.400062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t44_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.2182	4	4	1	1	44	18583	53099	4193.700062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t44_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.2182	4	4	2	2	44	18583	53099	4193.700062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t45_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.231	4	4	1	1	45	18583	53099	4193.600062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t45_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.231	4	4	2	2	45	18583	53099	4193.600062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t46_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.2438	4	4	1	1	46	18583	53099	4193.350062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t46_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.2439	4	4	2	2	46	18583	53099	4193.350062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t47_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.2566	4	4	1	1	47	18583	53099	4193.800062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t47_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.2567	4	4	2	2	47	18583	53099	4193.800062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t48_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.2695	4	4	1	1	48	18583	53099	4193.800062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t48_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.2695	4	4	2	2	48	18583	53099	4193.800062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t49_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.2823	4	4	1	1	49	18583	53099	4193.675062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t49_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.2823	4	4	2	2	49	18583	53099	4193.675062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t50_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.2951	4	4	1	1	50	18583	53099	4193.800062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t50_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.2951	4	4	2	2	50	18583	53099	4193.800062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t51_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.308	4	4	1	1	51	18583	53099	4193.600062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t51_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.308	4	4	2	2	51	18583	53099	4193.600062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t52_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.3211	4	4	1	1	52	18583	53099	4193.500062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t52_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.3211	4	4	2	2	52	18583	53099	4193.500062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t53_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.334	4	4	1	1	53	18583	53099	4193.250062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t53_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.3341	4	4	2	2	53	18583	53099	4193.250062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t54_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.347	4	4	1	1	54	18583	53099	4193.750062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t54_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.347	4	4	2	2	54	18583	53099	4193.750062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t55_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.3599	4	4	1	1	55	18583	53099	4193.475062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t55_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.3599	4	4	2	2	55	18583	53099	4193.475062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t56_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.3729	4	4	1	1	56	18583	53099	4193.000062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t56_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.3729	4	4	2	2	56	18583	53099	4193.000062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t57_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.3859	4	4	1	1	57	18583	53099	4193.175062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t57_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.3859	4	4	2	2	57	18583	53099	4193.175062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t58_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.399	4	4	1	1	58	18583	53099	4192.800062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t58_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.399	4	4	2	2	58	18583	53099	4192.800062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t59_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.4121	4	4	1	1	59	18583	53099	4193.175062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t59_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.4121	4	4	2	2	59	18583	53099	4193.175062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t60_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.4252	4	4	1	1	60	18583	53099	4193.275062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t60_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.4252	4	4	2	2	60	18583	53099	4193.275062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t61_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.4383	4	4	1	1	61	18583	53099	4193.025062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t61_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.4383	4	4	2	2	61	18583	53099	4193.025062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t62_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.4514	4	4	1	1	62	18583	53099	4193.000062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t62_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.4514	4	4	2	2	62	18583	53099	4193.000062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t63_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.4645	4	4	1	1	63	18583	53099	4192.900062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t63_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.4645	4	4	2	2	63	18583	53099	4192.900062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t64_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.4776	4	4	1	1	64	18583	53099	4192.800062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t64_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.4776	4	4	2	2	64	18583	53099	4192.800062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t65_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.4906	4	4	1	1	65	18583	53099	4193.025062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t65_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.4906	4	4	2	2	65	18583	53099	4193.025062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t66_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.5037	4	4	1	1	66	18583	53099	4192.800062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t66_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.5037	4	4	2	2	66	18583	53099	4192.800062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t67_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.5168	4	4	1	1	67	18583	53099	4193.100062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t67_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.5168	4	4	2	2	67	18583	53099	4193.100062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t68_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.5299	4	4	1	1	68	18583	53099	4193.275062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t68_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.5299	4	4	2	2	68	18583	53099	4193.275062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t69_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.543	4	4	1	1	69	18583	53099	4193.200062	1
